index;,id;,created_at;,text;,company;,sentiment_class
1;,1476231549595050000;,44559,7361458333;,@HSBC_UK HELP, cashpoint in bethnal green road only gave me £80 for £100!!???.....I managed just to get the last £20 as was stuck..couldve been £60..branch closed and going away to wales tomorrow..Anybody else had similar problems with cashpoint &amp; the new notes???;,HSBC;,Negative
2;,1475537284577560000;,44557,8203356481;,@HSBC_UK @nationaltrust 250,000 trees is the least you can do given your investment in industries that damage and destroy the environment. #ClimateCrisis  #greenwashing;,HSBC;,Negative
3;,1476412395031610000;,44560,2351851852;,@XRebellionUK @HSBC @sciencemuseum We can’t wait it 2050, The #ClimateCrisis is Here Now!  #ClimateAction https://t.co/F7IGgQrAqH;,HSBC;,Negative
4;,1476206584254580000;,44559,6672453704;,7/ @HSBC and @IBMBlockchain announced the successful test of a token and digital wallet settlement between two CBDCs in a cloud environment. The experiment consisted of transactions between CBDCs, eBonds and forex: https://t.co/csoXckunk1;,HSBC;,Neutral
5;,1476077775664600000;,44559,3118055556;,For more information about the fund 👉  https://t.co/YBtpGzQZp0  @HSBC @HSBC_TR  #EYDK #EtkiYatırımıDanışmaKurulu #EtkiYatırımı #EtkiYatırımıTürkiye #ImpactInvestingAdvisoryBoard #impinv #ImpactInvestingTurkey #HSBCTurkey;,HSBC;,Neutral
6;,1476597396486430000;,44560,7456828704;,@HSBC_UK @nationaltrust 😂😂😂😂@hsbc you dont fool anyone with this green washing crap!!;,HSBC;,Negative
7;,1476479420466550000;,44560,4201388889;,#ZeroPollution futures need more than innovation - they need #GreenFinance too. Our experts at @ImperialBiz worked through @ConsultImperial with @HSBC to devise a #LowCarbon risk-reward investment assessment: https://t.co/WwsbTO8Nxh (Page 13);,HSBC;,Neutral
8;,1476337080846460000;,44560,027349537;,@matt_cymru21 @XRebellionUK @HSBC @sciencemuseum of course you need to fit the ""we need"" there's no ""we"" no one will stand for you because you eco mob are worthless and nothing but giving the government advice to scam us better. Stop using that phrase you are not going to start a communist revolution dumbass;,HSBC;,Negative
9;,1476328496163080000;,44560,0036574074;,@HSBC_UK @nationaltrust @HSBC has financed US$110.7 billion to fossil fuels since the Paris climate agreement was signed. Don't fall for this #greenwash. Read more: https://t.co/aDqE5JriCo;,HSBC;,Negative
10;,1476193797046510000;,44559,6319675926;,One bright spot from #COP26: the prioritization of nature. But what does this mean for businesses &amp; investors? As part of their Climate Solution Partnership, @WorldResources, @wwf_uk &amp; @HSBC list 3 key barriers we must tackle to scale #NatureBasedSolutions https://t.co/loX4TFTgIl;,HSBC;,Neutral
11;,1475919497047560000;,44558,8750462963;,Under the new program, @Walmart suppliers that have set at least three sustainability goals and are working towards a 1.5 degree Celsius target can get access to financing from @HSBC. https://t.co/bNZY6XD66Z;,HSBC;,Neutral
12;,1475850471386590000;,44558,6845717593;,As Dr Chow puts it, local insights are key to successful #ESG engagements. Lots to do in #India - just transition, access to healthcare and inclusive growth: https://t.co/AvGz6vTrzA @HSBC #AssetManagement #Asia;,HSBC;,Neutral
13;,1475800271779410000;,44558,5460416667;,Then we published our inaugural scorecard evaluating top EU &amp; US asset managers’ climate policies, this time examining their coal commitments.   @CreditSuisse &amp; @HSBC AM are still the #1 laggards today.. https://t.co/WUP7gPoL4W;,HSBC;,Negative
14;,1476812316893140000;,44561,33875;,Homes account for 23% of the UK’s CO2 emissions &amp; 35% of energy use. As demand for high-quality homes increases, so to will the need to decrease resulting carbon emissions. Our @LBGplc #GreenHomes research looks at incentives for homeowners to take action  https://t.co/IctVLJ289i;,Lloyds Banking Group;,Neutral
15;,1476147483550040000;,44559,5041666667;,It’s not a choice between values or value – strong performance against #ESG indicators makes business sense! But how can companies begin integrating social &amp; sustainable principles in their operations? This might help. @LBGplc https://t.co/1YKA38z44y;,Lloyds Banking Group;,Positive
16;,1476137573735180000;,44559,4768171296;,How we approach the redevelopment of residential property will be one of the major challenges of this decade. I'm proud that @LBGplc is not only commissioning research into #GreenHomes, but also offering incentives to personal &amp; commercial homeowners too:  https://t.co/rs8PG2NEbd;,Lloyds Banking Group;,Positive
17;,1476235094440490000;,44559,7459259259;,It’s vital that our thinking on #ESG is not limited to being more eco-friendly. Good #governance &amp; #inclusive recruitment are important too! An interesting piece from @LBGplc which highlights how businesses can address all elements of ESG: https://t.co/Hxby9ENz6L;,Lloyds Banking Group;,Positive
18;,1476836357410410000;,44561,4050925926;,Fund managers will need to create engagement strategies with clear targets &amp; escalation processes  to achieve their ambition of going #NetZero by 2050♻️  ""Net Zero Investing: No Quick Wins"": https://t.co/DM8a9O6zaY via @Barclays   #fintech #climate #decarbonization https://t.co/jHjgaxGgOr;,Barclays;,Neutral
19;,1476625463099470000;,44560,8231365741;,Six weeks after The FA published a strategy with the aim of having 24-28 professional, sustainable women's teams &amp; six days after it announced @Barclays as the first title sponsor of the @FAWomensChamp, @CovUnitedLFC went into liquidation For @ForbesSports https://t.co/ksoHt3eXIQ https://t.co/NETinp2NXS;,Barclays;,Neutral
20;,1476920287031560000;,44561,6366898148;,Nature-based solutions might be the missing element  that need to be invested in today to achieve the #NetZero goal of tomorrow 🌱  ""Reaching net-zero through the power of nature"": https://t.co/7a0NbWP66u via @Barclays  #fintech #climate https://t.co/8El8l5XyHv;,Barclays;,Neutral
21;,1475790128995910000;,44558,5180555556;,Paid internship #opportunity! 📣 The Eagles CSR Programme could help you gain a paid #internship in the CSR department of a global organisation. Past #QMUL participants have secured permanent roles at @BarclaysUK and @AllenOvery!  Find out more ➡️ https://t.co/ntk58NMXhv https://t.co/fRqJjJIdNA;,Barclays;,Positive
22;,1476488500187110000;,44560,4451851852;,@LFC @StanChart milly impact sub⚡️⚡️;,Standard Chartered;,Neutral
23;,1475183807032700000;,44556,8449189815;,@StanChart bank is commiting a ecocide in Balochistan by funding CPEC (China Pakistan Economic cooridor) projects which are hazardous for the ecosystem and indeginous communities there. https://t.co/ZkescYTAHz;,Standard Chartered;,Negative
24;,1475800274837150000;,44558,5460532407;,In the year the UK hosted #COP26, we shone a light with @urgewald on the City of London’s coal exposure…  It revealed huge backing for the highly polluting fossil fuel, which new policies from @StanChart and @HSBC have failed to fully halt..  https://t.co/hfWZZfnNMS;,Standard Chartered;,Negative
25;,1475622524381800000;,44558,0555555556;,Our governments. Our health. Our cities. Our transportation. Our energy.  Backed by the most powerful data engine on the planet, Bloomberg Green is focused on solutions at the center of it all.  Sponsored by: @GM, @JLL, @McKinsey &amp; @StanChart  Learn more: https://t.co/CLjEhKe2SM https://t.co/wv43pyyLlb;,Standard Chartered;,Positive
26;,1476500837476220000;,44560,4792361111;,Nature-based solutions can mitigate climate change effects on agricultural sector, but market imperfections persist https://t.co/GfBcrid5v0 @ImperialBiz @StanChart https://t.co/rvuiv0HZMA;,Standard Chartered;,Neutral
27;,1476134109969880000;,44559,4672569444;,Many r still away from getting safe #water 2 drink! However 4 Supana village in UP this has changed as now there is 24/7 access 2 a safe drinking water facility blessed by @StanChart.d #community  welcomed this by joining d inauguration ceremony &amp; enrolling in membership cards. https://t.co/b8WhqqXF2A;,Standard Chartered;,Positive
28;,1476213953067990000;,44559,6875810185;,Against the backdrop of enormous changes in the UK banking environment, @santanderuk was able to translate strategy into delivery. See how: https://t.co/q1FwcIROxf https://t.co/uiQyofUrB3;,Santander;,Positive
29;,1475815298410360000;,44558,5875115741;,🎊Together with @TPICAPGroupPLC,  @Experian_UK  and @santanderuk, we inspired 40,062 actions towards building confidence with numbers during #NumberConfidenceWeek!  💙Big thanks to everyone who made this possible.  Read more in our impact report 👉 https://t.co/gQaOYFg96X https://t.co/xNvDvA9hxm;,Santander;,Positive
30;,1476144477714720000;,44559,4958680556;,@ChrisPaulDesig1 @bancosantander @ScuderiaFerrari @F1 I just hate the green that messes up everything;,Santander;,Negative
31;,1476117377473520000;,44559,421087963;,@ChrisPaulDesig1 @bancosantander @ScuderiaFerrari @F1 This looks nice, hopefully no Mission Winnow in the team name means there won't be that hideous green thing on the car itself.  Also the dual color idea wasn't bad, but the execution was. The shift was too sudden, I wouldn't mind burgundy in the back in the transition is smoother;,Santander;,Negative
32;,1475929145968320000;,44558,9016666667;,@ChrisPaulDesig1 @bancosantander @ScuderiaFerrari @F1 M-green-flu(o) on red No More, I love it;,Santander;,Positive
33;,1476815662873990000;,44561,3479861111;,@AskNationwide Wow some customers are obviously more important than others… I asked a question at 4 23 this morning, And have no reply! I knew this was going to have a massive impact today of all days! How many time are you going to have the same issues and not compensate you@AskNationwide;,Nationwide Building Society;,Negative
34;,1476813921826790000;,44561,3431828704;,@RugbyJoel @AskNationwide I’m not angry, not for myself anyway. I’m angry for the people who have kids to feed and bills to pay that this will have a massive impact on.;,Nationwide Building Society;,Negative
