,0,1
0,HSBC,"@HSBC_UK #sustainability OR @HSBC_UK #environment OR @HSBC_UK #climatechange OR @HSBC_UK #csr OR @HSBC_UK #renewables OR @HSBC_UK #sdgs OR @HSBC_UK #green OR @HSBC_UK #sustainable OR @HSBC_UK #earthday OR @HSBC_UK #renewableenergy OR @HSBC_UK #circulareconomy OR @HSBC_UK #climate OR @HSBC_UK #water OR @HSBC_UK #recycling OR @HSBC_UK #energyefficiency OR @HSBC_UK #esg OR @HSBC_UK #cleanenergy OR @HSBC_UK #globalgoals OR @HSBC_UK #eco OR @HSBC_UK #climateaction -""credit score"" lang:en -is:retweet"
1,HSBC," @HSBC_UK #ecofriendly OR @HSBC_UK #plasticfree OR @HSBC_UK #nature OR @HSBC_UK sustainability OR @HSBC_UK impact OR @HSBC_UK ""sustainable development"" OR @HSBC_UK ""climate change"" OR @HSBC_UK ecosystem OR @HSBC_UK environment OR @HSBC_UK conservation OR @HSBC_UK ""climate finance"" OR @HSBC_UK adaptation OR @HSBC_UK mitigation OR @HSBC_UK ""carbon finance"" OR @HSBC_UK emission OR @HSBC_UK #sustainabledevelopmemt  OR @HSBC_UK #sustainability OR @HSBC_UK #philanthropy -""credit score"" lang:en -is:retweet"
2,HSBC," @HSBC_UK #socialgood OR @HSBC_UK #zerohunger OR @HSBC_UK #development OR @HSBC_UK #transformingcommerce OR @HSBC_UK #socialimpact OR @HSBC_UK #replaceplastic OR @HSBC_UK #goodgovernance OR @HSBC_UK #procurementwithpurpose OR @HSBC_UK #activistinvestors OR @HSBC_UK #activistinvesting OR @HSBC_UK #shareholderactivism OR @HSBC_UK #socents OR @HSBC_UK #imapct OR @HSBC_UK #impinv OR @HSBC_UK #socimp OR @HSBC_UK #impactinvesting OR @HSBC_UK #socinn OR @HSBC_UK #socinv -""credit score"" lang:en -is:retweet"
3,HSBC," @HSBC_UK #socialenterprise OR @HSBC_UK #socialimpact OR @HSBC_UK #corpgov OR @HSBC_UK #greenwashing OR @HSBC_UK csr OR @HSBC_UK renewables OR @HSBC_UK sdgs OR @HSBC_UK green OR @HSBC_UK sustainable OR @HSBC_UK earthday OR @HSBC_UK ""renewable energy"" OR @HSBC_UK ""circular economy"" OR @HSBC_UK climate OR @HSBC_UK water OR @HSBC_UK recycling OR @HSBC_UK ""energy efficiency"" OR @HSBC_UK esg OR @HSBC_UK ""clean energy"" OR @HSBC_UK ""global goals"" OR @HSBC_UK eco -""credit score"" lang:en -is:retweet"
4,HSBC," @HSBC_UK ""climate action"" OR @HSBC_UK ""eco friendly"" OR @HSBC_UK ""plastic free"" OR @HSBC_UK nature OR @HSBC_UK ""sustainable development"" OR @HSBC_UK sustainability OR @HSBC_UK philanthropy OR @HSBC_UK ""social good"" OR @HSBC_UK ""zero hunger"" OR @HSBC_UK ""social impact"" OR @HSBC_UK ""replace plastic"" OR @HSBC_UK ""good governance"" OR @HSBC_UK ""procurement with purpose"" OR @HSBC_UK ""activist investors"" OR @HSBC_UK ""activist investing"" OR @HSBC_UK ""shareholder activism"" -""credit score"" lang:en -is:retweet"
5,HSBC,"@HSBC #sustainability OR @HSBC #environment OR @HSBC #climatechange OR @HSBC #csr OR @HSBC #renewables OR @HSBC #sdgs OR @HSBC #green OR @HSBC #sustainable OR @HSBC #earthday OR @HSBC #renewableenergy OR @HSBC #circulareconomy OR @HSBC #climate OR @HSBC #water OR @HSBC #recycling OR @HSBC #energyefficiency OR @HSBC #esg OR @HSBC #cleanenergy OR @HSBC #globalgoals OR @HSBC #eco OR @HSBC #climateaction OR @HSBC #ecofriendly OR @HSBC #plasticfree OR @HSBC #nature -""credit score"" lang:en -is:retweet"
6,HSBC," @HSBC sustainability OR @HSBC impact OR @HSBC ""sustainable development"" OR @HSBC ""climate change"" OR @HSBC ecosystem OR @HSBC environment OR @HSBC conservation OR @HSBC ""climate finance"" OR @HSBC adaptation OR @HSBC mitigation OR @HSBC ""carbon finance"" OR @HSBC emission OR @HSBC #sustainabledevelopmemt  OR @HSBC #sustainability OR @HSBC #philanthropy OR @HSBC #socialgood OR @HSBC #zerohunger OR @HSBC #development OR @HSBC #transformingcommerce OR @HSBC #socialimpact -""credit score"" lang:en -is:retweet"
7,HSBC," @HSBC #replaceplastic OR @HSBC #goodgovernance OR @HSBC #procurementwithpurpose OR @HSBC #activistinvestors OR @HSBC #activistinvesting OR @HSBC #shareholderactivism OR @HSBC #socents OR @HSBC #imapct OR @HSBC #impinv OR @HSBC #socimp OR @HSBC #impactinvesting OR @HSBC #socinn OR @HSBC #socinv OR @HSBC #socialenterprise OR @HSBC #socialimpact OR @HSBC #corpgov OR @HSBC #greenwashing OR @HSBC csr OR @HSBC renewables OR @HSBC sdgs OR @HSBC green OR @HSBC sustainable -""credit score"" lang:en -is:retweet"
8,HSBC," @HSBC earthday OR @HSBC ""renewable energy"" OR @HSBC ""circular economy"" OR @HSBC climate OR @HSBC water OR @HSBC recycling OR @HSBC ""energy efficiency"" OR @HSBC esg OR @HSBC ""clean energy"" OR @HSBC ""global goals"" OR @HSBC eco OR @HSBC ""climate action"" OR @HSBC ""eco friendly"" OR @HSBC ""plastic free"" OR @HSBC nature OR @HSBC ""sustainable development"" OR @HSBC sustainability OR @HSBC philanthropy OR @HSBC ""social good"" OR @HSBC ""zero hunger"" OR @HSBC ""social impact"" -""credit score"" lang:en -is:retweet"
9,Lloyds Banking Group,"@LBGplc #sustainability OR @LBGplc #environment OR @LBGplc #climatechange OR @LBGplc #csr OR @LBGplc #renewables OR @LBGplc #sdgs OR @LBGplc #green OR @LBGplc #sustainable OR @LBGplc #earthday OR @LBGplc #renewableenergy OR @LBGplc #circulareconomy OR @LBGplc #climate OR @LBGplc #water OR @LBGplc #recycling OR @LBGplc #energyefficiency OR @LBGplc #esg OR @LBGplc #cleanenergy OR @LBGplc #globalgoals OR @LBGplc #eco OR @LBGplc #climateaction OR @LBGplc #ecofriendly -""credit score"" lang:en -is:retweet"
