,id,created_at,text,company,textblob_polarity,textblob_sentiment,vader_polarity,vader_sentiment
0,1484469043734237189,2022-01-21 10:12:54+00:00,biosus energy energy firm based aberdeen secured funding package hsbc uk develop plan offering energy energybills energyefficiency energyfirm energysaving energycrisis,HSBC,-0.2,Negative,"{'neg': 0.0, 'neu': 0.64, 'pos': 0.36, 'compound': 0.7906}",Positive
1,1470745709620117511,2021-12-14 13:21:16+00:00,hsbc said today expected client set plan exit fossil fuel industry end target possible climatechange coal energytransition fossilfuels hsbc netzero,HSBC,-0.05,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
2,1470744074844254216,2021-12-14 13:14:47+00:00,hsbc said today expected client set plan exit fossil fuel industry end target possible climatechange coal energytransition fossilfuels hsbc netzero,HSBC,-0.05,Negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
3,1464933170491662336,2021-11-28 12:24:19+00:00,received copy beaming face smiling eye thank another fantastic opportunity red heart real privilege able bring awareness important topic climatechange accessible engaging way representationmatters cop,HSBC,0.325,Positive,"{'neg': 0.0, 'neu': 0.427, 'pos': 0.573, 'compound': 0.9674}",Positive
4,1457656375190958081,2021-11-08 10:28:56+00:00,climatechange border either stop nd highest investor fossil fuel europe cleanupyouract climatecrisis actnow tellthetruth,HSBC,0.0,Neutral,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",Negative
5,1448653304414670865,2021-10-14 14:13:57+00:00,uk flag united kingdom spending gt uk flag united kingdom government might argue buildup debt last year make harder spend much money already project debttogdp end rise gdp climatechange policy arent place,HSBC,0.03333333333333333,Positive,"{'neg': 0.124, 'neu': 0.682, 'pos': 0.194, 'compound': 0.4215}",Positive
6,1444238533330456583,2021-10-02 09:51:13+00:00,climatechange still investing billion fossil fuel extraction divest actnow tellthetruth climateemergency,HSBC,0.0,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
7,1442345549978505216,2021-09-27 04:29:11+00:00,climatechange border either climateemergency tellthetruth divest,HSBC,0.0,Neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral
8,1402177334627618816,2021-06-08 08:15:02+00:00,westmidlands continues lead way uk transition netzero amp launched new partnership support business across region developing service amp technology tackle climatechange investwm,HSBC,0.13636363636363635,Positive,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.4939}",Positive
9,1395736073419083779,2021-05-21 13:39:46+00:00,era partner partnering accelerate development cleantech startup era director prof martin freer say help business adopt zerocarbon technology read netzero climatechange,HSBC,0.0,Neutral,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.6705}",Positive
10,1395401899969589254,2021-05-20 15:31:52+00:00,joined force drive net zero progress netzero lowcarbon climatechange hsbc banking finance tree planting,HSBC,0.0,Neutral,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}",Positive
11,1388924262480846851,2021-05-02 18:32:03+00:00,th biggest funder fossilfuel project amp th biggest funder humaninduced climatechange longer dispute chosen bank elsewhere wrexham wrecsam wrexham wrecsam,HSBC,0.0,Neutral,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.4019}",Negative
12,1385157222863413250,2021-04-22 09:03:11+00:00,includes ethical invest people invest local community invest renewableenergy invest anything fossilfuel,HSBC,0.1,Positive,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",Positive
13,1381566307280257032,2021-04-12 11:14:10+00:00,bank wrexham still funding fossilfuel project detriment people amp planet stop amp time change bank wrexham wrecsam wrecsam climatechange,HSBC,0.0,Neutral,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.296}",Negative
